depolarizing_noise,attack_intensity,qber,entropy,key_rate,channel_loss,ai_attack_likelihood,lagrangian_base,var_k_raw,neg_slope_raw,var_k_norm,neg_slope_norm,curvature_norm,precritical_gate,critical_instability_potential,lagrangian_predictive
0.0,0.0,0.010799999999999999,0.08605117259955748,0.8278976548008851,0.1122994652406417,0.020066061106523533,-0.10798521222557268,0.0011182250350456069,0.0,0.3197776007299832,0.0,0.5170752244996184,0.0,0.0,-0.10798521222557268
0.006,0.0,0.014136,0.10710750971278953,0.7857849805744209,0.13315508021390374,0.02626424442609413,-0.08647229056610359,0.001993126681706761,7.018779037744023,0.6288490379215522,1.0,0.8179331042468381,0.0,0.0,-0.08647229056610359
0.012,0.0,0.017471999999999998,0.12700098090416792,0.7459980381916642,0.15401069518716576,0.03246242774566473,-0.06583151834802474,0.0030437594766131266,6.631157063792784,1.0,0.9447735892714713,1.0,0.0,0.0,-0.06583151834802474
0.018000000000000002,0.0,0.020808000000000004,0.1459535111660732,0.7080929776678536,0.1748663101604278,0.03866061106523535,-0.045896451827050724,0.0027719718938950277,6.317510087301764,0.9039871748760819,0.9000867605788512,0.798919601152726,0.0,0.0,-0.045896451827050724
0.024,0.0,0.024144,0.16411469743197996,0.6717706051360401,0.19572192513368986,0.04485879438480594,-0.02655489330307559,0.0025523833589161833,6.053728755302247,0.8264144050045129,0.8625045357244979,0.656158738502158,0.0,0.0,-0.02655489330307559
0.03,0.0,0.027479999999999997,0.18159230507703203,0.6368153898459359,0.21657754010695185,0.05105697770437654,-0.007726018744741464,0.002369266414884342,5.825869215017378,0.7617257428194149,0.8300402653635794,0.549332803947597,0.0,0.0,-0.007726018744741464
0.036000000000000004,0.0,0.030816000000000003,0.19846769476906925,0.6030646104618615,0.23743315508021393,0.057255161023947156,0.010651192348831495,0.0022130218429334977,5.625129897345718,0.7065301278717021,0.8014399466197967,0.4662968624784363,0.0,0.0,0.010651192348831495
0.042,0.0,0.034152,0.21480448071640001,0.5703910385672,0.2582887700534759,0.06345334434351775,0.02862445063387463,0.0020773558958189836,5.445595315776932,0.6586042045263117,0.7758607710105738,0.3998573061930549,0.0,0.0,0.02862445063387463
0.048,0.0,0.037488,0.23065377092480607,0.5386924581503878,0.27914438502673794,0.06965152766308835,0.046232087114724235,0.0019579207116956782,5.283096736135364,0.6164120288125011,0.7527087984569831,0.34546966382179506,0.0,0.0,0.046232087114724235
0.054,0.0,0.040824,0.24605752663361707,0.5078849467327659,0.3,0.07584971098265895,0.0635055727208775,0.0018515898247431564,5.1345852362703255,0.5788491322587148,0.7315496340116563,0.3001168701352781,0.0,0.0,0.0635055727208775
