trajectory_name,has_collapse,collapse_coordinate_x,action_at_collapse,final_predictive_action,max_instability_potential,max_action_acceleration,warning_coordinate,collapse_coordinate_y,anticipation_pct,action_rank,acceleration_rank,anticipation_rank
physical_noise_dominant,1,0.132,0.05601680499647907,0.07836944335449432,0.6660009881072925,41.81820587591926,0.07200000000000001,0.132,45.45454545454545,3.0,3.0,2.0
attack_dominant,1,0.7000000000000001,0.4384411241983635,0.5854299656133547,0.8066809155800028,6.334570292923351,0.25,0.7000000000000001,64.28571428571429,1.0,5.0,1.0
mixed_escalation,1,0.10200000000000001,0.029500317369509442,0.07219317147511208,0.5855176572569358,47.70112699792732,0.066,0.10200000000000001,35.294117647058826,5.0,2.0,3.0
phase_sensitive,0,,,0.16995082903012249,0.9867295771688958,50.12397886320658,,,,2.0,1.0,
curvature_probe,1,0.10200000000000001,0.03238933791765762,0.07300079707711313,0.6485193250711304,38.408273915772156,0.066,0.10200000000000001,35.294117647058826,4.0,4.0,3.0
