depolarizing_noise,phase_noise,attack_intensity,qber,entropy,key_rate,channel_loss,ai_attack_likelihood,path_coordinate,lagrangian_base,var_k_raw,neg_slope_raw,var_k_norm,neg_slope_norm,curvature_norm,precritical_gate,critical_instability_potential,lagrangian_predictive,delta_coord,action_base_increment,action_predictive_increment,action_base,action_predictive,normalized_action,action_velocity,action_acceleration,collapse,trajectory_name,dL_dq,dL_dk,d2L_path,stationarity_residual
0.0,0.06,0.3,0.03288,0.20863539462043473,0.5827292107591305,0.1122994652406417,0.165,0.0,0.020186439013454377,0.0007519577860553751,0.0,0.35319273284181757,0.0,0.08786973599283678,0.0,0.0,0.020186439013454377,1e-06,2.0186439013454374e-08,2.0186439013454374e-08,2.0186439013454374e-08,2.0186439013454374e-08,2.0186439013454374e-08,0.040896086651303176,1.6933475867278216,0,physical_noise_dominant,5.830418816961937,-0.6072723852727551,-5.409397182151905,6.437691202234692
0.006,0.06,0.3,0.036432,0.22568676081136327,0.5486264783772734,0.13315508021390374,0.18,0.006,0.040896086651303176,0.0013690011736593284,5.683788730309521,0.6430165027279693,1.0,0.13454112330549567,0.0,0.0,0.040896086651303176,0.006,0.00024537651990781906,0.00024537651990781906,0.0002453967063468325,0.0002453967063468325,0.00024393310770062874,0.051056172171670106,2.525184056140601,0,physical_noise_dominant,5.775593845521209,-0.6109768437544464,-7.882284507340671,6.386570689275656
0.012,0.06,0.3,0.039984,0.2422188248728052,0.5155623502543896,0.15401069518716576,0.195,0.012,0.061216257692037035,0.0021290296094289974,5.51068802048064,1.0,0.9695448374240585,0.17318014323197772,0.0,0.0,0.061216257692037035,0.006,0.00036729754615222223,0.00036729754615222223,0.0006126942524990548,0.0006126942524990548,0.0006054291032599355,0.07119829532499039,3.328508583966177,0,physical_noise_dominant,5.670642779650973,-0.6181619615448709,-9.929576180798108,6.288804741195844
0.018000000000000002,0.06,0.3,0.043536000000000005,0.2582760945678109,0.48344781086437816,0.1748663101604278,0.21000000000000002,0.018000000000000002,0.08118033295794372,0.0020108860774871616,5.352423231668567,0.9445082720228012,0.9416998916807189,0.15838768222074515,0.0,0.0,0.08118033295794372,0.006000000000000002,0.0004870819977476625,0.0004870819977476625,0.0010997762502467172,0.0010997762502467172,0.001080330304761019,0.09099827517926423,3.2736338055180383,0,physical_noise_dominant,5.574318652667195,-0.6251549650269412,-9.145796408022761,6.199473617694136
0.024,0.06,0.3,0.047088,0.2738957764984624,0.45220844700307516,0.19572192513368986,0.225,0.024,0.10081621740058477,0.001904750519821639,5.2065606435505005,0.8946566601920066,0.9160369764952484,0.14585954066600532,0.0,0.0,0.10081621740058477,0.005999999999999998,0.0006048973044035084,0.0006048973044035084,0.0017046735546502258,0.0017046735546502258,0.0016647202682131112,0.11048190099120685,3.2227418547820577,0,physical_noise_dominant,5.485255014623499,-0.6319903347792617,-8.481991789331175,6.117245349402761
0.03,0.06,0.3,0.05063999999999999,0.28910943541391815,0.4217811291721637,0.21657754010695185,0.24,0.03,0.12014758458182898,0.0018086544088236893,5.071219638485244,0.8495205519047562,0.8922252179153538,0.13511208368306313,0.0,0.0,0.12014758458182898,0.005999999999999998,0.0007208855074909736,0.0007208855074909736,0.002425559062141199,0.002425559062141199,0.0023549117108166984,0.1296711774366489,3.1752666334404296,0,physical_noise_dominant,5.402386386667233,-0.6386959057201047,-7.912536890270985,6.041082292387338
0.036000000000000004,0.06,0.3,0.054192,0.303944185700568,0.39211162859886395,0.23743315508021393,0.255,0.036000000000000004,0.13919477029146882,0.001721064700712872,4.9449167622166215,0.8083798802471606,0.8700036185101724,0.12579064162629452,0.0,0.0,0.13919477029146882,0.006000000000000005,0.0008351686217488136,0.0008351686217488136,0.003260727683890013,0.003260727683890013,0.0031474205442953793,0.148585100592492,3.130754796378797,0,physical_noise_dominant,5.324865753334205,-0.6452945814387574,-7.4186395102714755,5.970160334772962
0.042,0.06,0.3,0.057744000000000004,0.3184235691770934,0.3631528616458132,0.2582887700534759,0.27,0.042,0.15797543089351523,0.001640765422141803,4.826461158841797,0.7706635055121914,0.849162660305103,0.11762910694041584,0.0,0.0,0.15797543089351523,0.005999999999999998,0.0009478525853610912,0.0009478525853610912,0.004208580269251104,0.004208580269251104,0.004038944596210272,0.16724023499319451,3.0888375968680464,0,physical_noise_dominant,5.2520085587563266,-0.6518055263145031,-6.986199918459221,5.903814085070829
0.048,0.06,0.3,0.061295999999999996,0.3325682161167015,0.334863567766597,0.27914438502673794,0.28500000000000003,0.048,0.17650503909287374,0.0015667767903066198,4.7148823132027005,0.7359112261133968,0.8295315918517512,0.110423856903619,0.0,0.0,0.17650503909287374,0.005999999999999998,0.0010590302345572422,0.0010590302345572422,0.005267610503808346,0.005267610503808346,0.005026345900580483,0.18565115175490854,3.0492110219797954,0,physical_noise_dominant,5.183253592824901,-0.6582450170492553,-6.604429148041646,5.841498609874156
0.054,0.06,0.3,0.064848,0.34639635255592444,0.30720729488815113,0.3,0.30000000000000004,0.054,0.1947972644169433,0.0014982984604826493,4.6093788130743105,0.7037471220912191,0.8109694134995229,0.10401639560336672,0.0,0.0,0.1947972644169433,0.005999999999999998,0.0011687835865016596,0.0011687835865016596,0.006436394090310006,0.006436394090310006,0.006106635759307406,0.20383076725695204,3.0116214463000652,0,physical_noise_dominant,5.1181349949446755,-0.6646270651842454,-6.264929279955794,5.7827620601289205
