trajectory_name,warning_coordinate,collapse_coordinate,anticipation_pct
physical_noise_dominant,0.07200000000000001,0.132,45.45454545454545
attack_dominant,0.25,0.7000000000000001,64.28571428571429
mixed_escalation,0.066,0.10200000000000001,35.294117647058826
phase_sensitive,,,
curvature_probe,0.066,0.10200000000000001,35.294117647058826
