trajectory_name,has_collapse,collapse_coordinate,action_at_collapse,final_predictive_action,max_instability_potential,max_action_acceleration
physical_noise_dominant,1,0.132,0.05601680499647907,0.07836944335449432,0.6660009881072925,41.81820587591926
attack_dominant,1,0.7000000000000001,0.4384411241983635,0.5854299656133547,0.8066809155800028,6.334570292923351
mixed_escalation,1,0.10200000000000001,0.029500317369509442,0.07219317147511208,0.5855176572569358,47.70112699792732
phase_sensitive,0,,,0.16995082903012249,0.9867295771688958,50.12397886320658
curvature_probe,1,0.10200000000000001,0.03238933791765762,0.07300079707711313,0.6485193250711304,38.408273915772156
